dqc_category,dqc_field,dqc_value,dqc_rule,record_count,frequency_pct,source_file,source_row_number,month,town,flat_type,flat_model,storey_range,floor_area_sqm,remaining_lease,remaining_lease_decade,price_per_sqm,resale_price
anomaly resale price,price_per_sqm,4365.08,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,24996,2016-05,SEMBAWANG,EXECUTIVE,APARTMENT,10 TO 12,126.0,73 years 4 months,70-79 years,4365.08,550000.0
anomaly resale price,price_per_sqm,6136.53,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,25074,2016-05,SENGKANG,4 ROOM,PREMIUM APARTMENT,13 TO 15,90.0,81 years 4 months,80-89 years,6136.53,552288.0
anomaly resale price,price_per_sqm,6311.11,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,25075,2016-05,SENGKANG,4 ROOM,PREMIUM APARTMENT,13 TO 15,90.0,81 years 4 months,80-89 years,6311.11,568000.0
anomaly resale price,price_per_sqm,9187.5,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,26499,2016-06,KALLANG/WHAMPOA,3 ROOM,TERRACE,01 TO 03,80.0,44 years 4 months,40-49 years,9187.5,735000.0
anomaly resale price,price_per_sqm,9573.6,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,26500,2016-06,KALLANG/WHAMPOA,3 ROOM,TERRACE,01 TO 03,80.0,44 years 4 months,40-49 years,9573.6,765888.0
anomaly resale price,price_per_sqm,8589.74,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,28199,2016-07,KALLANG/WHAMPOA,3 ROOM,TERRACE,01 TO 03,78.0,44 years 4 months,40-49 years,8589.74,670000.0
anomaly resale price,price_per_sqm,6200.0,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,28534,2016-07,SENGKANG,4 ROOM,PREMIUM APARTMENT,16 TO 18,90.0,81 years 4 months,80-89 years,6200.0,558000.0
anomaly resale price,price_per_sqm,6222.22,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,28535,2016-07,SENGKANG,4 ROOM,PREMIUM APARTMENT,13 TO 15,90.0,81 years 4 months,80-89 years,6222.22,560000.0
anomaly resale price,price_per_sqm,4633.66,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,29378,2016-08,BUKIT PANJANG,4 ROOM,MODEL A,13 TO 15,101.0,69 years 4 months,60-69 years,4633.66,468000.0
anomaly resale price,price_per_sqm,4460.78,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,29883,2016-08,JURONG WEST,4 ROOM,MODEL A,07 TO 09,102.0,69 years 4 months,60-69 years,4460.78,455000.0
anomaly resale price,price_per_sqm,4558.82,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,29885,2016-08,JURONG WEST,4 ROOM,MODEL A,10 TO 12,102.0,69 years 4 months,60-69 years,4558.82,465000.0
anomaly resale price,price_per_sqm,7951.81,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,29980,2016-08,KALLANG/WHAMPOA,3 ROOM,TERRACE,01 TO 03,83.0,44 years 4 months,40-49 years,7951.81,660000.0
anomaly resale price,price_per_sqm,6837.61,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,29981,2016-08,KALLANG/WHAMPOA,3 ROOM,TERRACE,01 TO 03,117.0,44 years 4 months,40-49 years,6837.61,800000.0
anomaly resale price,price_per_sqm,3510.64,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,30089,2016-08,PUNGGOL,4 ROOM,PREMIUM APARTMENT,01 TO 03,94.0,75 years 4 months,70-79 years,3510.64,330000.0
anomaly resale price,price_per_sqm,5318.18,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,30414,2016-08,SENGKANG,5 ROOM,PREMIUM APARTMENT,07 TO 09,110.0,78 years 4 months,70-79 years,5318.18,585000.0
anomaly resale price,price_per_sqm,4831.68,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,31277,2016-09,BUKIT PANJANG,4 ROOM,MODEL A,25 TO 27,101.0,69 years 4 months,60-69 years,4831.68,488000.0
anomaly resale price,price_per_sqm,4662.16,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,31608,2016-09,JURONG WEST,3 ROOM,MODEL A,10 TO 12,74.0,56 years 4 months,50-59 years,4662.16,345000.0
anomaly resale price,price_per_sqm,5000.0,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,32945,2016-10,BUKIT PANJANG,5 ROOM,IMPROVED,13 TO 15,123.0,69 years 4 months,60-69 years,5000.0,615000.0
anomaly resale price,price_per_sqm,5597.01,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,34302,2016-11,BEDOK,3 ROOM,NEW GENERATION,10 TO 12,67.0,51 years 4 months,50-59 years,5597.01,375000.0
anomaly resale price,price_per_sqm,4702.97,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,34561,2016-11,BUKIT PANJANG,4 ROOM,MODEL A,04 TO 06,101.0,69 years 4 months,60-69 years,4702.97,475000.0
anomaly resale price,price_per_sqm,5101.01,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,34562,2016-11,BUKIT PANJANG,4 ROOM,MODEL A,19 TO 21,99.0,71 years 4 months,70-79 years,5101.01,505000.0
anomaly resale price,price_per_sqm,3900.0,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,34640,2016-11,CHOA CHU KANG,4 ROOM,PREMIUM APARTMENT,10 TO 12,100.0,71 years 4 months,70-79 years,3900.0,390000.0
anomaly resale price,price_per_sqm,4414.63,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,34664,2016-11,CHOA CHU KANG,5 ROOM,PREMIUM APARTMENT,07 TO 09,123.0,70 years 4 months,70-79 years,4414.63,543000.0
anomaly resale price,price_per_sqm,5811.32,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,34725,2016-11,GEYLANG,3 ROOM,STANDARD,01 TO 03,53.0,41 years 4 months,40-49 years,5811.32,308000.0
anomaly resale price,price_per_sqm,5173.08,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,34807,2016-11,HOUGANG,4 ROOM,MODEL A,04 TO 06,104.0,56 years 4 months,50-59 years,5173.08,538000.0
anomaly resale price,price_per_sqm,9359.55,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,35020,2016-11,KALLANG/WHAMPOA,3 ROOM,TERRACE,01 TO 03,89.0,44 years 4 months,40-49 years,9359.55,833000.0
anomaly resale price,price_per_sqm,4623.66,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,35238,2016-11,SEMBAWANG,4 ROOM,MODEL A,13 TO 15,93.0,73 years 4 months,70-79 years,4623.66,430000.0
anomaly resale price,price_per_sqm,5516.67,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,35417,2016-11,TAMPINES,3 ROOM,IMPROVED,10 TO 12,60.0,57 years 4 months,50-59 years,5516.67,331000.0
anomaly resale price,price_per_sqm,5248.35,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,35427,2016-11,TAMPINES,3 ROOM,NEW GENERATION,10 TO 12,68.0,57 years 4 months,50-59 years,5248.35,356888.0
anomaly resale price,price_per_sqm,5270.27,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,35429,2016-11,TAMPINES,3 ROOM,MODEL A,07 TO 09,74.0,56 years 4 months,50-59 years,5270.27,390000.0
anomaly resale price,price_per_sqm,4416.67,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,35655,2016-11,WOODLANDS,5 ROOM,IMPROVED,07 TO 09,120.0,68 years 4 months,60-69 years,4416.67,530000.0
anomaly resale price,price_per_sqm,4308.94,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,36566,2016-12,PASIR RIS,5 ROOM,IMPROVED,10 TO 12,123.0,64 years 4 months,60-69 years,4308.94,530000.0
anomaly resale price,price_per_sqm,5031.39,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,36731,2016-12,SENGKANG,4 ROOM,PREMIUM APARTMENT,10 TO 12,92.0,79 years 4 months,70-79 years,5031.39,462888.0
anomaly resale price,price_per_sqm,5354.31,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,36747,2016-12,SENGKANG,4 ROOM,PREMIUM APARTMENT,13 TO 15,90.0,78 years 4 months,70-79 years,5354.31,481888.0
anomaly resale price,price_per_sqm,5117.65,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,36748,2016-12,SENGKANG,4 ROOM,MODEL A2,13 TO 15,85.0,73 years 4 months,70-79 years,5117.65,435000.0
anomaly resale price,price_per_sqm,4633.33,3x IQR outlier on price_per_sqm within month + town + flat_type + remaining_lease_decade,,,d_ea9ed51da2787afaf8e51f827c304208.csv,36980,2016-12,WOODLANDS,3 ROOM,IMPROVED,07 TO 09,60.0,57 years 4 months,50-59 years,4633.33,278000.0
